"","17-AAG","AEW541","AZD0530","AZD6244","Erlotinib","Irinotecan","L-685458","Lapatinib","LBW242","Nilotinib","Nutlin-3","Paclitaxel","Panobinostat","PD-0325901","PD-0332991","PF2341066","PHA-665752","PLX4720","RAF265","Sorafenib","TAE684","TKI258","Topotecan","ZD-6474"
"17-AAG",1,0.213078380937692,0.139524895244737,0.419214252600077,0.213078380937692,0.162664990060174,0.310404380049618,0.139524895244737,0.419214252600077,0.1631102139379,0.139524895244737,0.369727391933368,0.272520108720906,0.139524895244737,0.161109637095051,0.139524895244737,0.419214252600077,0.156282552455252,0.0917934795263151,0.291100447203646,0.139524895244737,0.139524895244737,0.139524895244737,0.156282552455252
"AEW541",0.213078380937692,1,0.124500386797109,0.332810273868083,1,-0.0405303314745659,0.25316612569484,0.124500386797109,0.332810273868083,0.0377774247149785,0.124500386797109,0.325620886554003,0.391128091058742,0.124500386797109,0.0727399183799083,0.124500386797109,0.332810273868083,0.280607172359227,-0.0561441566251787,0.385128000801945,0.124500386797109,0.124500386797109,0.124500386797109,0.280607172359227
"AZD0530",0.139524895244737,0.124500386797109,1,0.315696802570116,0.124500386797109,0.0186086657670532,0.208981600534529,1,0.315696802570116,-0.0579279778934673,1,0.309913900368568,0.297428223047986,1,0.192550669518901,1,0.315696802570116,0.103420484254793,0.0670256072936065,0.199410332505113,1,1,1,0.103420484254793
"AZD6244",0.419214252600077,0.332810273868083,0.315696802570116,1,0.332810273868083,0.290520780804937,0.213097020245913,0.315696802570116,1,0.163315607761434,0.315696802570116,0.550913846396067,0.215092587870862,0.315696802570116,0.105321531650054,0.315696802570116,1,0.0707143214427343,0.116096632585148,0.381923155982802,0.315696802570116,0.315696802570116,0.315696802570116,0.0707143214427343
"Erlotinib",0.213078380937692,1,0.124500386797109,0.332810273868083,1,-0.0405303314745659,0.25316612569484,0.124500386797109,0.332810273868083,0.0377774247149785,0.124500386797109,0.325620886554003,0.391128091058742,0.124500386797109,0.0727399183799083,0.124500386797109,0.332810273868083,0.280607172359227,-0.0561441566251787,0.385128000801945,0.124500386797109,0.124500386797109,0.124500386797109,0.280607172359227
"Irinotecan",0.162664990060174,-0.0405303314745659,0.0186086657670532,0.290520780804937,-0.0405303314745659,1,-0.0218926810593937,0.0186086657670532,0.290520780804937,0.0399972395674713,0.0186086657670532,0.0493064442583631,-0.0502535129703933,0.0186086657670532,0.0213640788884833,0.0186086657670532,0.290520780804937,-0.0450317363712636,0.0386048664041622,-0.00938006977048103,0.0186086657670532,0.0186086657670532,0.0186086657670532,-0.0450317363712636
"L-685458",0.310404380049618,0.25316612569484,0.208981600534529,0.213097020245913,0.25316612569484,-0.0218926810593937,1,0.208981600534529,0.213097020245913,0.122517725570936,0.208981600534529,0.410851476264324,0.396990343266376,0.208981600534529,0.207145314949298,0.208981600534529,0.213097020245913,0.155306354359935,0.108428354355961,0.304631425748266,0.208981600534529,0.208981600534529,0.208981600534529,0.155306354359935
"Lapatinib",0.139524895244737,0.124500386797109,1,0.315696802570116,0.124500386797109,0.0186086657670532,0.208981600534529,1,0.315696802570116,-0.0579279778934673,1,0.309913900368568,0.297428223047986,1,0.192550669518901,1,0.315696802570116,0.103420484254793,0.0670256072936065,0.199410332505113,1,1,1,0.103420484254793
"LBW242",0.419214252600077,0.332810273868083,0.315696802570116,1,0.332810273868083,0.290520780804937,0.213097020245913,0.315696802570116,1,0.163315607761434,0.315696802570116,0.550913846396067,0.215092587870862,0.315696802570116,0.105321531650054,0.315696802570116,1,0.0707143214427343,0.116096632585148,0.381923155982802,0.315696802570116,0.315696802570116,0.315696802570116,0.0707143214427343
"Nilotinib",0.1631102139379,0.0377774247149785,-0.0579279778934673,0.163315607761434,0.0377774247149785,0.0399972395674713,0.122517725570936,-0.0579279778934673,0.163315607761434,1,-0.0579279778934673,0.30451127809902,0.0969635587060764,-0.0579279778934673,0.0949671164404056,-0.0579279778934673,0.163315607761434,0.0171606422475645,0.0534779823811389,0.217132954362127,-0.0579279778934673,-0.0579279778934673,-0.0579279778934673,0.0171606422475645
"Nutlin-3",0.139524895244737,0.124500386797109,1,0.315696802570116,0.124500386797109,0.0186086657670532,0.208981600534529,1,0.315696802570116,-0.0579279778934673,1,0.309913900368568,0.297428223047986,1,0.192550669518901,1,0.315696802570116,0.103420484254793,0.0670256072936065,0.199410332505113,1,1,1,0.103420484254793
"Paclitaxel",0.369727391933368,0.325620886554003,0.309913900368568,0.550913846396067,0.325620886554003,0.0493064442583631,0.410851476264324,0.309913900368568,0.550913846396067,0.30451127809902,0.309913900368568,1,0.396578821296476,0.309913900368568,0.25004886566782,0.309913900368568,0.550913846396067,0.126287929154724,0.140282137129435,0.499280794714098,0.309913900368568,0.309913900368568,0.309913900368568,0.126287929154724
"Panobinostat",0.272520108720906,0.391128091058742,0.297428223047986,0.215092587870862,0.391128091058742,-0.0502535129703933,0.396990343266376,0.297428223047986,0.215092587870862,0.0969635587060764,0.297428223047986,0.396578821296476,1,0.297428223047986,0.26250849390534,0.297428223047986,0.215092587870862,0.337690737910539,0.00695395446273567,0.290418541306821,0.297428223047986,0.297428223047986,0.297428223047986,0.337690737910539
"PD-0325901",0.139524895244737,0.124500386797109,1,0.315696802570116,0.124500386797109,0.0186086657670532,0.208981600534529,1,0.315696802570116,-0.0579279778934673,1,0.309913900368568,0.297428223047986,1,0.192550669518901,1,0.315696802570116,0.103420484254793,0.0670256072936065,0.199410332505113,1,1,1,0.103420484254793
"PD-0332991",0.161109637095051,0.0727399183799083,0.192550669518901,0.105321531650054,0.0727399183799083,0.0213640788884833,0.207145314949298,0.192550669518901,0.105321531650054,0.0949671164404056,0.192550669518901,0.25004886566782,0.26250849390534,0.192550669518901,1,0.192550669518901,0.105321531650054,0.246789328130329,0.0154261641956049,0.179326866683092,0.192550669518901,0.192550669518901,0.192550669518901,0.246789328130329
"PF2341066",0.139524895244737,0.124500386797109,1,0.315696802570116,0.124500386797109,0.0186086657670532,0.208981600534529,1,0.315696802570116,-0.0579279778934673,1,0.309913900368568,0.297428223047986,1,0.192550669518901,1,0.315696802570116,0.103420484254793,0.0670256072936065,0.199410332505113,1,1,1,0.103420484254793
"PHA-665752",0.419214252600077,0.332810273868083,0.315696802570116,1,0.332810273868083,0.290520780804937,0.213097020245913,0.315696802570116,1,0.163315607761434,0.315696802570116,0.550913846396067,0.215092587870862,0.315696802570116,0.105321531650054,0.315696802570116,1,0.0707143214427343,0.116096632585148,0.381923155982802,0.315696802570116,0.315696802570116,0.315696802570116,0.0707143214427343
"PLX4720",0.156282552455252,0.280607172359227,0.103420484254793,0.0707143214427343,0.280607172359227,-0.0450317363712636,0.155306354359935,0.103420484254793,0.0707143214427343,0.0171606422475645,0.103420484254793,0.126287929154724,0.337690737910539,0.103420484254793,0.246789328130329,0.103420484254793,0.0707143214427343,1,-0.00398886955875784,0.18277443021586,0.103420484254793,0.103420484254793,0.103420484254793,1
"RAF265",0.0917934795263151,-0.0561441566251787,0.0670256072936065,0.116096632585148,-0.0561441566251787,0.0386048664041622,0.108428354355961,0.0670256072936065,0.116096632585148,0.0534779823811389,0.0670256072936065,0.140282137129435,0.00695395446273567,0.0670256072936065,0.0154261641956049,0.0670256072936065,0.116096632585148,-0.00398886955875784,1,0.135127184448429,0.0670256072936065,0.0670256072936065,0.0670256072936065,-0.00398886955875784
"Sorafenib",0.291100447203646,0.385128000801945,0.199410332505113,0.381923155982802,0.385128000801945,-0.00938006977048103,0.304631425748266,0.199410332505113,0.381923155982802,0.217132954362127,0.199410332505113,0.499280794714098,0.290418541306821,0.199410332505113,0.179326866683092,0.199410332505113,0.381923155982802,0.18277443021586,0.135127184448429,1,0.199410332505113,0.199410332505113,0.199410332505113,0.18277443021586
"TAE684",0.139524895244737,0.124500386797109,1,0.315696802570116,0.124500386797109,0.0186086657670532,0.208981600534529,1,0.315696802570116,-0.0579279778934673,1,0.309913900368568,0.297428223047986,1,0.192550669518901,1,0.315696802570116,0.103420484254793,0.0670256072936065,0.199410332505113,1,1,1,0.103420484254793
"TKI258",0.139524895244737,0.124500386797109,1,0.315696802570116,0.124500386797109,0.0186086657670532,0.208981600534529,1,0.315696802570116,-0.0579279778934673,1,0.309913900368568,0.297428223047986,1,0.192550669518901,1,0.315696802570116,0.103420484254793,0.0670256072936065,0.199410332505113,1,1,1,0.103420484254793
"Topotecan",0.139524895244737,0.124500386797109,1,0.315696802570116,0.124500386797109,0.0186086657670532,0.208981600534529,1,0.315696802570116,-0.0579279778934673,1,0.309913900368568,0.297428223047986,1,0.192550669518901,1,0.315696802570116,0.103420484254793,0.0670256072936065,0.199410332505113,1,1,1,0.103420484254793
"ZD-6474",0.156282552455252,0.280607172359227,0.103420484254793,0.0707143214427343,0.280607172359227,-0.0450317363712636,0.155306354359935,0.103420484254793,0.0707143214427343,0.0171606422475645,0.103420484254793,0.126287929154724,0.337690737910539,0.103420484254793,0.246789328130329,0.103420484254793,0.0707143214427343,1,-0.00398886955875784,0.18277443021586,0.103420484254793,0.103420484254793,0.103420484254793,1
