"","x"
"1",1.17508727890745
"2",-1.85207931686916
"3",-0.344332973670539
"4",-1.21868543996223
"5",0.21947916891011
"6",0.428015440489647
"7",-1.98367719646784
"8",0.138249522928855
"9",0.179769765814216
"10",-0.570664887120994
"11",-0.48045170087397
"12",-2.12660699491455
"13",-0.560327761811448
"14",-1.31502405735375
"15",-0.567814825618217
"16",-2.7572932731188
"17",-0.989942248659718
"18",-0.564957758475098
"19",0.176706963410453
"20",-0.500295129105103
"21",-0.816086608866775
"22",0.463137841453013
"23",-0.000745522148799596
"24",-0.105251596605537
"25",-1.09361603013522
